ચોર્યો	The thief
શોલ્ડરમાં	In Shoulder
ગાલા	Gala
વિધિથી	By ritual
રિઝલ્ટ	Result
પૉઇન્ટનો	points
માધુરીના	Madhuri's
પટેલે	Patel
સયાજીરાવ	Sayajirao
મોઘી	Moghi
ટેવ	habit
જરા	Just a little
ઇશાએ	Isha
સુધીનો	Up to
ડાઉનઃ	Down:
વોરંટ	Warrant
દી	the
પહોચ્યા	Arrived
અક્ષય	Akshay
લાજવાબ	Awesome
નેહા	Neha
ઉથલ	Uthal
મહાન	Great
ખાનને	Khan
ધાકડ	Dhakad
વ્હિલર્સ	Wheelers
હેચબેક	hatchback
પત્નીનું	of the wife
બેફિકર	Befikre
યુનિવર્સ	Universes
ચંદ્રશેખરની	Chandrasekhar's
હોલીવૂડ	Hollywood
સાયકલિંગનો	Of cycling
સોનાનો	of gold
છોરો	Boys
અર્થવ્યવસ્થાએ	the economy
કર્યો	did
નાઇટ	Night
ગ્રામથી	From gram
બેઠક	Meeting
થઇને	by
7મા	7th
ફ્રીમા	Freema
લેવાઈ	taken
બોલી	dialect
નોકરીયાત	Employed
ચોર્યુ	The Thief
ફૂલઓન	Fullon
ઇન્સ્ટોલ	Installed
કેન્સરનાં	of cancer
ભુખ્યા	hungry
હૃતિક	Hrithik
રાજકોટઃભાવમાં	Rajkot: In bhavma
રક્ષા	Defense
ઈઝરાયલના	Of Israel
સૂચક	Indicator
પડેગા	Padega
દબાણની	of pressure
આકાશમાં	in the sky
રેમ્પ	Ramp
ભેટમાં	In a gift
બાયોપિકનો	of the biopic
મજાકિયા	Funny
રજા	Leave
શાઓમીનો	Xiaomi's
ગર્જ્યા	Roaring
લેમ્બોર્ગિની	Lamborghini
શ્રેયા	Shreya
વિતી	Viti
વાગ્યાથી	From o'clock
સળીથી	from the stick
બાંધ્યો	Tied up
રેમ્પવોક	Rampwalk
માંગણી	Demand
નીકળ્યો	left
કરાઈ	Done
ફાઇવ	Five
લીટર	Liter
સિન્હા	Sinha
ક્યારે	when
ડિલીવરી	Delivery
બનાવીને	by creating
સ્ટુડિયોમાં	In the studio
શાસ્ત્રી	Shastri
ભાદુરીનું	Bhaduri's
52500માં	In 52500
ફીચર્સની	Features
ચોકાવનારો	Starters
નવજોત	Navjot
મંત્રાલય	Ministry
વધ્યાપેટ્રોલ	Increased Petrol
કેટરિના	Katrina
સમક્ષ	In front of
હેરાન	Heran
130મા	130th
પેનલનો	Panel's
માંગો	Want to
સિલસિલા	Silsila
ખેડૂતોનો	of the farmers
માર્કેટમાં	in the market
ડ્રાઈવ	Drive
ચઢ્યો	Climbed
આત્મહત્યાની	of suicide
સનીનાં	Sunny's
પત્થરબાજી	stone pelting
એક્સેલન્સ	Excellence
સરકારે	Government
ટેટૂ	Tattoo
પતિની	husband's
દેઓલ	Deol
બગડી	Spoiled
દેવગનથી	From Devgan
બ્રુનાએ	Bruna
સાવ	Absolutely
પ્રતિક્રિયા	Reaction
250માં	In 250
હટ્યો	Removed
દશેરાની	Dashera
ડીલ	Deal
રણબીરે	Ranbir
પડદા	Curtains
મીનિટ	Mint
કેમેરાની	of the camera
ફોન	Phone
ગ્રૃપમાં	In the group
વિંટી	Vinty
તોડ	Break
અંડર	Under
રોડ	Road
પિયુષ	Piyush
હતાં	were
સિંદુર	Sindoor
અજય	Ajay
ફ્રેન્ડે	Friend
વસ્તું	Things
પ્લાન્ટ	Plant
બતાવવું	Show
આપનારા	Giver
આવેલી	Incoming
કપાસની	of cotton
વ્યાજે	interest
મનની	of the mind
ખટાવાની	Khatawani
રજનીકાંત	Rajinikanth
નામે	In name
માટેનું	for
પ્રભાવથી	by effect
નાખ્યો	dropped
લાઈસન્સ	License
પ્રક્રિયા	process
શોધવાની	To find
મૌન	Silence
સમા	Sama
સરલા	Sarla
થરૂરે	Tharoor
વધીને	Growing up
ઉર્મિલાનાં	Urmila's
પીરામલની	Of Piramal
આરઆઈએલ	RIL
અબરામે	AbRame
નથી	Is not
આરબીઆઇનો	OF THE RBI
ચોર્યાસી	Choryasi
યુઝર્સનો	of the users
ઇન્ડો	Indo
દૂકાન	Dukan
અવસર	Opportunity
આક્ષેપ	Allegations
સંજોગોમાં	Under the circumstances
આલિશાન	Alishan
બોલિવૂડની	Of Bollywood
2016નો	Of 2016
સિક્યોરિટી	Security
કરાવવાનું	To get it done
કેદારનાથ	Kedarnath
એનફિલ્ડ	Anfield
રતન	Ratan
રજૂ	Presented
સેન્સને	to sans
રાહતઃઆજથી	Relief: From today
ભાભીજી	Bhabhiji
મોડાસાઃમગફળીના	Modasa: Peanuts
સિમ્બા’	Simba'
દંગલ	Dangal
ફાઈનલી	Finale
તુસાદ	Tussauds
રેતીના	Of sand
સાર્વજનિક	Public
ઢગલાબંધ	heaped
જોનસને	To Jonas
રંગ	Color
મુરિલ્લો	Muriello
હમશકલ	Humshakals
હિનાએ	Hina
ઇચ્છા	Desire
ભોયરૂ	Bhoyru
ટિકા	Tica
પટેલના	Patel
ફોનનો	of the phone
નોટને	To the note
વાપરવાનો	To use
આઉટફિટમં	In the outfit
વલસાડ	Valsad
જશોદાબેનનો	Of Jashodaben
ઠાઠમાં	In the throes
છતા	However,
મોમેન્ટ્સ	Moments
કુવારો	Wells
કુરૈશીએ	Quraishi
પડી	fell
પંચ	Punch
ઘટતા	decreasing
તસીવરો	Tasivros
અર્જુને	To Arjuna
આસામી	Assamese
સાથે	With
પાક	Crop
ચોંકી	Shocked
ધનતેરસ	Dhanteras
કરોડને	to crores
એસ્ટેટ	Estate
હટાવ્યું	Removed
રોકડ	Cash
ચેતજો	Warnings
ડાયના	Diana
કરાવતી	Getting it done
આંખો	Eyes
રસ્તાઓ	Roads
બારટેન્ડર	Bartender
હીરોઈન	Heroine
ડેરીમાં	In dairy
બ્રાંચમાં	In The Branch
ઇસરો	ISRO
12નાં	of 12
બેરોજગારો	Unemployed
ઠીક	All right
નિભાવનારી	executing
ઇસ્સરને	Issar
માફીના	Apologies
ઘટાડ્યો	Reduced
પ્રધાન	Minister
અપડેટ્સ	Updates
પાઠ	Text
પેસેન્જરનું	of the passenger
ડેંગ્યૂ	dengue
દેખાશે	Will appear
યુવકે	Young man
જુલાઇ	July
મેમ્બર્સ	Members
ફોટા	Photos
પડ્યા	fell
રેસ	Race
મેલે	Mele
નોટઃજુવો	Note: See
તેમને	them
એજન્સીના	of the agency
જુએ	Look at
ઉદ્ઘાટન	Inauguration
આલિયાની	Of Alia
ગોલ્ડીનો	Goldie's
રુપિયામાં	in rupees
વેમ્પ	Vamp
ડાન્સ	Dance
પાત્રનું	of the character
ભાઇઓ	Brothers
ઈંધણ	Fuel
પોઇન્ટનું	of the point
વિશ્વનો	of the world
છિલ્લરની	Chhillar's
અમેઝ	Amaze
કેન્દ્રને	To the Center
તૈમૂર	Taimur
અટકાવી	Stopped
ઓળખીને	By identifying
જોઇએ	Should
જીવન	life
ટીવી	TV
રિલાયન્સનો	Of Reliance
નજારો	Views
ટ્રાફિક	Traffic
ઢગ્સ	Dumps
નિફ્ટી	Nifty
શર્માનાં	Sharma's
રોકડની	of cash
ચૌધરીના	Chaudhary's
રામપાલની	Rampal's
નુક્સાન	Nuxan
સાઇડ	Side
શ્રેયસ	Shreyas
12મા	12th
પટાખા	Pataakha
તસવીરોમાં	in pictures
માંથી	From
વેન્ટેજ	Vantage
એક્સિસ	Axis
ડબ્બામાં	In the box
બાંધીને	Tied up
અબ્દુલાએ	Abdullaha
ઓડિશા	Odisha
પછાડી	Knocked down
ઉઠમણું	Rise up
અભિનેત્રીનું	Of the actress
મલ્હાર	Malhar
પરનો	On
ડીલઃ	Deal:
રાજકોટઃઆરોગ્યના	Rajkot: Healthy
સાઉથની	Of the South
ડાર્કવેબ	Darkweb
અમારા	our
રહેજો	Stay tuned
ફ્લેટમાં	in the flat
આપણી	our
સૂનિલ	Sunil
વાઇફે	Wife
કિસિંગ	Kissing
દેખાડશે	Will show
જેલ	Jail
સક્સેસથી	From Sussex
બોલીવુડના	Bollywood
સુરતનો	Of Surat
ઇન્ટરનેટનું	of the Internet
ભાગ્યની	of fate
સેટિંગ્સ	Settings
ગેરંટીના	Guaranteed
વળતર	Compensation
ક્લેમ	Claim
હનીમૂનની	Of the honeymoon
મંગલસૂત્ર	Mangalsutra
કપડા	Clothes
રાતનો	of the night
એન્ગેજમેન્ટ	Engagement
વીકએન્ડમાં	Over the weekend
ખલબલી	Khalbali
દીવાળી	Diwali
બાપ્પાનાં	Bappa's
નજીકના	Nearby
રાજ્યપાલના	Governor's
સ્વીકારાશે	will be accepted
અભદ્ર	Rude
દાળના	dal
સમાજસેવાનો	Of social service
રહ્યુ	has been
મેકર્સે	The makers
સોનમને	To Sonam
પ્રોબલમ	Probalum
રજાઓના	Holidays
જેકી	Jackie
હાથીને	to the elephant
મચાવ્યો	created
રીટેલર્સની	Retailers
ગ્રૂપમાં	In group
મળતું	Found
બદલાયા	Changed
બાહુબલીનો	Of Baahubali
નોકરીયાતો	Employees
સ્કુટર	scooter
અનૂપમ	Anupam
બ્લડપ્રેશર	Blood Pressure
મૂર્તિ	idol
રિસર્ચ	Research
હાલત	State of Affairs
ગુજ્યા	Gujya
નિયમોમાં	in the rules
ફંક્શનમાં	In function
ભરેલી	Full
2021માં	In 2021
વાતની	Talk about
સિંહના	Lion's
પૂજા	Puja
વિરોધી	Opponents
વ્હોટ્સએપથી	From WhatsApp
ઇન્ડિયાએ	India
લિયોને	To Leo
દિક્ષીત	Dixit
એલર્ટ	Alert
આઈડિયા	Idea
લીક	Leaks
ફઝલના	Fazlna
સુપરહિરો	Superhero
ઇન્કાર	Denial
ગરીબોને	to the poor
એવી	Such is the case
સુવા	Sleep
બેદીને	Bedi
રિશી	Rishi
કોલથી	By call
શોષણનો	of exploitation
સિંહે	Singh
મંદિરાના	Mandirana
લંબાવાઇ	Extended
દિખલા	Dikhla
શરત	Condition
પોતાને	himself
પૂલનાં	of the pool
વીડિયોકોને	Videocone
રાજકોટઃ	Rajkot:
જામતા	Jamta
પેટ્રોલિંગ	Patrolling
બહેનના	sister's
ફ્લાઈટની	of the flight
ટ્યૂમર	Tumor
નહી	No
પ્રભાકર	Prabhakar
ઓપરેટિંગ	Operating
સીધુ	Straight away
પડકારશે	will challenge
કરીશ	I'll do it
મોડલની	of the model
નાગા	Nagas
યુઝ	Use
નાણાંનો	of money
પૂનમને	To Poonam
સ્ટ્રેટનર	Stratner
ખરીદ્યુ	Purchased
લાગુ	Applicable
કમાલની	Kamal's
સેવિંગ્સ	Savings
સિક્રેટ્સ	Secrets
શક્તિકાંત	Shaktikanta
આસારામની	Asaram's
પ્રતિક	Symbol
એક્ટિંગ	Acting
ઓડી	Audi
બિલી	Billy
ઇન્ટરપોલે	Interpol
રુમ	Room
સુહાના	Suhana
જવું	go
ફિલ્મ	Film
ગફલત	Gufflat
મોડુ	Late
એપ્પલના	Apple's
મન્નતને	Mannatne
કલાકાંડી	Ghantaandi
સોંઘુ	Songhu
આવતી	Coming
મર્ચન્ટે	Merchant
નિકનો	Nick's
ઘરનો	Home
ડ્રાયર	Dryer
ક્રિસમસ	Christmas
છો	you are
આસિસ્ટન્ટ	Assistant
ચહેરો	face
શુ	What
ધારાસભ્યની	MLA's
ફેલાવતા	Spreading
ડિરેક્ટરની	Director's
200માં	In 200
શહીદીના	Martyrdom
ડિટેઇલ	Details
શાખામાં	In branch
સાઇન	Sign
આશા	hope
21કિ	21ki
પ્રસારણની	of broadcasting
શાહિદનાં	Shahid's
તવાહીઃજોઓ	Tawahi:
રે	Ray
છેતરાય	Cheating
ધરમેન્દ્ર	Dharmendra
રાણી	Queen
ચમકાવવા	to shine
હૂ઼ડીની	Hoodini
કેસમાં	In the case
38કરોડના	38 crores
હાથમાં	In hand
પુરવઠો	Supplies
2માં	In 2
