യുണൈറ്റഡിന്	For United
പരിഭാഷയുടെ	Of the translation
പണിക്കും	Will work
വൊച്യൂര്‍	Vochur
ഓര്‍ത്തെടുത്ത്	Remembering
തൂവെള്ള	White
ന്യായീകരിച്ച്‌	Justifying
യുവി	Yuvi
കുഞ്ഞച്ഛന്‍	The little boy.
ഇടപാട്	transaction
മറിന	Marina
ആര്‍പ്പുവിളിച്ച്‌	shouting
ലണ്ടനില്‍	In London.
വിരട്ടിയ	frightened
ഖാന്റെ	Khan's
കുട്ടികള്‍ക്ക്	For the children.
അനുവാദം	permission
കിടക്കേണ്ടിവരുമെന്ന്	That you'll have to lie down.
ഓര്‍മ്മകളുമായി	with memories.
ഡേവിഡ്സണ്‍	Davidson
കാര്‍ബണ്‍	Carbon
പ്രതിഫലവും	and rewards.
ക്വാര്‍ട്ടറില്‍	in the quarter
ടീച്ചര്‍	Teacher
ഒരുങ്ങുന്നു	Getting ready
ജീവനക്കാര്‍	Employees
ക​പ്പി​ന്	For the cup
സൈനയോട്	To Saina
മാന്‍സി	Mansi
ഗാര്‍ഡിയോള	Guardiola
ഉള്‍പ്പെടെയുള്ള	including
ടെലിവിഷന്‍	Television
സൈനികര്‍ക്ക‌്	For the soldiers
ഇക്കാര്യത്തില്‍	In this regard,
നാണക്കേടില്‍	In shame
മരിച്ച	Dead
മധ്യനിരക്ക്	For the middle
മുത്ത്	Pearl
ഉ​​മേ​​ഷ്	Umesh
മ്യൂണിക്കിനെതിരെ	against Munich
ചരിത്രപുരുഷനെ	The Historical Man
ക്ഷേത്രത്തിലെത്തി	Reached the temple
ആവശ്യപ്പെട്ട്	Asking
മുതിര്‍ന്ന	Senior
സ്പോ​ര്‍​ട്സ്	Sports
ട്യൂമര്‍	Tumor
നിങ്ങള്‍ക്കായിതാ	It's for you.
ഗോപ്യമായി	Secretly
അയ്യായിരം	Five thousand.
നിര്‍ദ്ദേശം	Suggestion
ചെറുതുമായ	and smaller
പൊതുമേഖല	Public Sector
ജോണ്‍സണ്‍	Johnson
സഹോദരനാല്‍	By his brother.
തീവ്രവാദ	Terrorist
ബേബിയായി	As a baby
വാറന്‍റിയുമായി	with Warranty
തിയറ്റര്‍	Theater
വാങ്ങിയില്ലെങ്കില്‍	If you don't buy it
ആന്റിബയോട്ടിക്	Antibiotics
നേട്ടവുമായി	with the advantage
കാണാതെ	Not to see
ഡച്ച്‌	Dutch
മുഖമുണ്ടോ	Do you have a face?
ഖത്തറില്‍	In Qatar
നീണ്ട	Long
സാമ്ബ	Samba
എ​റ​ണാ​കു​ള​ത്ത്	In Ernakulam
പ്ലാറ്റ്‌ഫോമിലേക്ക്	To the platform
തിരിച്ചുതരും	I'll give it back.
കാര്‍ത്തിയുടെ	Karthi's
അവസരം	Opportunity
ദി​ന​ത്തി​ലെ	of the day
ജയിക്കണം	You have to win.
പേസ്	Pace
തുണച്ചു	Helped
കപ്പില്‍	In the cup
ക​ളി​ക്കി​ല്ല	Don't play.
റദ്ദാക്കിയാല്‍	If cancelled
പഠനത്തിനും	and for the study
രക്ഷപെട്ട്	Escaped
തോളിനേറ്റ	On the shoulder
ആലപിച്ച	Sung
ട്രിക്‌	Trick
ഹിന്ദുസ്ഥാന്‍	Hindustan
സിംഹം	lion
പൈതൃക	Heritage
ഡിജിറ്റല്‍	Digital
മാറ്റികൂടേടോ	Don't change it.
